,title,company,salary,summary,location,link
719,"Senior Backend Engineer (Python) - Payments - Europe, Remote",Plentific,,"Work with product owners, product managers, user interface designers and other software engineers to write technical documents that identify software project…",Remote,https://uk.indeed.com/rc/clk?jk=cefc362cf84bd06e&fccid=56947a13dff13841&vjs=3
720,Senior SAP Core Insurance Architect: Sales and Performance M...,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=3819dadb512e1945&fccid=0d6aec866fba2ad5&vjs=3
721,Senior SAP Core Insurance Architect: Claims Management,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=1f5d0742617f02dd&fccid=0d6aec866fba2ad5&vjs=3
722,Senior SAP Core Insurance Architect: Insurance Product Manag...,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=a3ac10a51949bb34&fccid=0d6aec866fba2ad5&vjs=3
723,Senior Android Developer,Crimson Panda,,"Strong passion for best practice software development.
Able to nurture talent and delegate ownership to junior team members to help their development.",Remote,https://uk.indeed.com/rc/clk?jk=5554333ed1825242&fccid=1fc10225da74be0d&vjs=3
724,"Senior Backend Engineer (Python) - Europe, Remote - US Time...",Plentific,,"Work with product owners, product managers, user interface designers and other software engineers to write technical documents that identify software project…",Remote,https://uk.indeed.com/rc/clk?jk=0c53dc3666a330b8&fccid=56947a13dff13841&vjs=3
725,Senior Go Developer - API as Integration,Tyk Technologies,,"Designing highly-available distributed software.
Passion for continuously improvement software delivery lifecycle.
Strong backend engineering experience in Go.",Remote,https://uk.indeed.com/rc/clk?jk=286bb01f18024d25&fccid=9bb8592b4cd180d0&vjs=3
726,Full Stack Developer,Bullhorn,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=45027e7f57fc5cda&fccid=4b0e4e241ddcf265&vjs=3
727,Senior Full Stack Engineer,Bullhorn,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=01431266c738c96f&fccid=4b0e4e241ddcf265&vjs=3
728,DevOps Engineer - Azure - United Kingdom,Solo Search,,"Experience of mentoring more junior members of the team.
Suitable for: DevOps Engineer with approx.
The Azure DevOps Engineer will join an experienced and cross…",Remote,https://uk.indeed.com/rc/clk?jk=d1b38e1b28e0fd17&fccid=f4901df633921284&vjs=3
729,"Senior Product Designer, £60,000 - £75,000",CybSafe,,"Empower, coach, mentor and support junior product designers.
In this role, you support CybSafe’s overall product direction and design strategy, reinforce our…",Remote,https://uk.indeed.com/rc/clk?jk=afa8732376cf76d5&fccid=2cb2e3066636f99b&vjs=3
730,Senior / Lead React Developer,TeamITG,,"Team leadership or experience of mentoring more junior team members.
Strong knowledge of software development practices, processes and theories, especially…",Remote,https://uk.indeed.com/rc/clk?jk=3b61078c9bb33da8&fccid=ae09b7105a275b22&vjs=3
731,Senior Product Manager (Integrations & API),Digital Shadows,,"Experience of the software development lifecycle, in particular Agile methodologies.
We are seeking a Senior Product Manager to manage expand our API and…",Remote,https://uk.indeed.com/rc/clk?jk=a32a4098fa655aa0&fccid=f4b11374fb131747&vjs=3
732,Senior DevOps Engineer,Blue Prism,,"Able to mentor, encourage and guide junior DevOps engineers and developers in DevOps practices.
You will coach and mentor team members in various DevOps skills,…",Remote,https://uk.indeed.com/rc/clk?jk=a630c9266ef3f880&fccid=c3c74fe89412e37e&vjs=3
733,Senior Full Stack Developer,Bullhorn,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=6719345f41884e1e&fccid=4b0e4e241ddcf265&vjs=3
734,"Senior Backend Engineer (Python) - Payments - Europe, Remote",Plentific,,"Work with product owners, product managers, user interface designers and other software engineers to write technical documents that identify software project…",Remote,https://uk.indeed.com/rc/clk?jk=cefc362cf84bd06e&fccid=56947a13dff13841&vjs=3
735,Senior SAP Core Insurance Architect: Sales and Performance M...,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=3819dadb512e1945&fccid=0d6aec866fba2ad5&vjs=3
736,Senior SAP Core Insurance Architect: Claims Management,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=1f5d0742617f02dd&fccid=0d6aec866fba2ad5&vjs=3
737,Senior SAP Core Insurance Architect: Insurance Product Manag...,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=a3ac10a51949bb34&fccid=0d6aec866fba2ad5&vjs=3
738,"Senior Backend Engineer (Python) - Payments - Europe, Remote",Plentific,,"Work with product owners, product managers, user interface designers and other software engineers to write technical documents that identify software project…",Remote,https://uk.indeed.com/rc/clk?jk=cefc362cf84bd06e&fccid=56947a13dff13841&vjs=3
739,Senior Full Stack Developer,PeopleNet,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=e58cfa302822d404&fccid=b75610d06f16a4e3&vjs=3
740,Senior DevOps Engineer,Blue Prism,,"Able to mentor, encourage and guide junior DevOps engineers and developers in DevOps practices.
You will coach and mentor team members in various DevOps skills,…",Remote,https://uk.indeed.com/rc/clk?jk=a630c9266ef3f880&fccid=c3c74fe89412e37e&vjs=3
741,Senior SAP Core Insurance Architect: Policy Management,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=b496ed30f2c88532&fccid=0d6aec866fba2ad5&vjs=3
742,"Senior Product Designer, £60,000 - £75,000",CybSafe,,"Empower, coach, mentor and support junior product designers.
In this role, you support CybSafe’s overall product direction and design strategy, reinforce our…",Remote,https://uk.indeed.com/rc/clk?jk=afa8732376cf76d5&fccid=2cb2e3066636f99b&vjs=3
743,Senior ReactJS Engineer,MyBuilder,,"Design, architect, and build large and complex react applications.
Work with product and design to understand functional requirement and overall user experience…",Temporarily Remote,https://uk.indeed.com/rc/clk?jk=a3c988a11ff15e0b&fccid=5b12060045d1cae5&vjs=3
744,Senior Product Manager (Integrations & API),Digital Shadows,,"Experience of the software development lifecycle, in particular Agile methodologies.
We are seeking a Senior Product Manager to manage expand our API and…",Remote,https://uk.indeed.com/rc/clk?jk=a32a4098fa655aa0&fccid=f4b11374fb131747&vjs=3
745,Senior React Developer,Luxus Worldwide,,"Familiarity with the principles of Agile software development.
Mentor junior developers and ensure they become good team members with good communication and…",Remote,https://uk.indeed.com/rc/clk?jk=a61c1e97aa1fee07&fccid=d0361cbc2124a094&vjs=3
746,Full Stack Developer,Bullhorn,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=45027e7f57fc5cda&fccid=4b0e4e241ddcf265&vjs=3
747,Senior / Lead React Developer,TeamITG,,"Team leadership or experience of mentoring more junior team members.
Strong knowledge of software development practices, processes and theories, especially…",Remote,https://uk.indeed.com/rc/clk?jk=3b61078c9bb33da8&fccid=ae09b7105a275b22&vjs=3
748,Senior Full Stack Engineer,Bullhorn,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=01431266c738c96f&fccid=4b0e4e241ddcf265&vjs=3
749,Senior SAP Core Insurance Architect: Claims Management,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=1f5d0742617f02dd&fccid=0d6aec866fba2ad5&vjs=3
750,Senior Full Stack Developer,Bullhorn,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=6719345f41884e1e&fccid=4b0e4e241ddcf265&vjs=3
751,Senior SAP Core Insurance Architect: Insurance Product Manag...,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=a3ac10a51949bb34&fccid=0d6aec866fba2ad5&vjs=3
